,Income,Limit,Rating,Cards,Age,Education,Gender,Student,Married,Ethnicity,Balance,GenderNumeric,StudentNumeric,MarriedNumeric,EthnicityNumeric
0,14.890999999999998,3606,283,2,34,11, Male,No,Yes,Caucasian,333,1,0,1,1
1,106.025,6645,483,3,82,15,Female,Yes,Yes,Asian,903,0,1,1,2
2,104.59299999999999,7075,514,4,71,11, Male,No,No,Asian,580,1,0,0,2
3,148.924,9504,681,3,36,11,Female,No,No,Asian,964,0,0,0,2
4,55.882,4897,357,2,68,16, Male,No,Yes,Caucasian,331,1,0,1,1
5,80.18,8047,569,4,77,10, Male,No,No,Caucasian,1151,1,0,0,1
6,20.996,3388,259,2,37,12,Female,No,No,African American,203,0,0,0,3
7,71.408,7114,512,2,87,9, Male,No,No,Asian,872,1,0,0,2
8,15.125,3300,266,5,66,13,Female,No,No,Caucasian,279,0,0,0,1
9,71.061,6819,491,3,41,19,Female,Yes,Yes,African American,1350,0,1,1,3
10,63.095,8117,589,4,30,14, Male,No,Yes,Caucasian,1407,1,0,1,1
11,15.045,1311,138,3,64,16, Male,No,No,Caucasian,0,1,0,0,1
12,80.616,5308,394,1,57,7,Female,No,Yes,Asian,204,0,0,1,2
13,43.681999999999995,6922,511,1,49,9, Male,No,Yes,Caucasian,1081,1,0,1,1
14,19.144000000000002,3291,269,2,75,13,Female,No,No,African American,148,0,0,0,3
15,20.089000000000002,2525,200,3,57,15,Female,No,Yes,African American,0,0,0,1,3
16,53.598,3714,286,3,73,17,Female,No,Yes,African American,0,0,0,1,3
17,36.496,4378,339,3,69,15,Female,No,Yes,Asian,368,0,0,1,2
18,49.57,6384,448,1,28,9,Female,No,Yes,Asian,891,0,0,1,2
19,42.07899999999999,6626,479,2,44,9, Male,No,No,Asian,1048,1,0,0,2
20,17.7,2860,235,4,63,16,Female,No,No,Asian,89,0,0,0,2
21,37.348,6378,458,1,72,17,Female,No,No,Caucasian,968,0,0,0,1
22,20.102999999999998,2631,213,3,61,10, Male,No,Yes,African American,0,1,0,1,3
23,64.027,5179,398,5,48,8, Male,No,Yes,African American,411,1,0,1,3
24,10.742,1757,156,3,57,15,Female,No,No,Caucasian,0,0,0,0,1
25,14.09,4323,326,5,25,16,Female,No,Yes,African American,671,0,0,1,3
26,42.471000000000004,3625,289,6,44,12,Female,Yes,No,Caucasian,654,0,1,0,1
27,32.793,4534,333,2,44,16, Male,No,No,African American,467,1,0,0,3
28,186.63400000000001,13414,949,2,41,14,Female,No,Yes,African American,1809,0,0,1,3
29,26.813000000000002,5611,411,4,55,16,Female,No,No,Caucasian,915,0,0,0,1
30,34.141999999999996,5666,413,4,47,5,Female,No,Yes,Caucasian,863,0,0,1,1
31,28.941,2733,210,5,43,16, Male,No,Yes,Asian,0,1,0,1,2
32,134.181,7838,563,2,48,13,Female,No,No,Caucasian,526,0,0,0,1
33,31.366999999999997,1829,162,4,30,10, Male,No,Yes,Caucasian,0,1,0,1,1
34,20.15,2646,199,2,25,14,Female,No,Yes,Asian,0,0,0,1,2
35,23.35,2558,220,3,49,12,Female,Yes,No,Caucasian,419,0,1,0,1
36,62.413000000000004,6457,455,2,71,11,Female,No,Yes,Caucasian,762,0,0,1,1
37,30.006999999999998,6481,462,2,69,9,Female,No,Yes,Caucasian,1093,0,0,1,1
38,11.795,3899,300,4,25,10,Female,No,No,Caucasian,531,0,0,0,1
39,13.647,3461,264,4,47,14, Male,No,Yes,Caucasian,344,1,0,1,1
40,34.95,3327,253,3,54,14,Female,No,No,African American,50,0,0,0,3
41,113.65899999999999,7659,538,2,66,15, Male,Yes,Yes,African American,1155,1,1,1,3
42,44.158,4763,351,2,66,13,Female,No,Yes,Asian,385,0,0,1,2
43,36.929,6257,445,1,24,14,Female,No,Yes,Asian,976,0,0,1,2
44,31.861,6375,469,3,25,16,Female,No,Yes,Caucasian,1120,0,0,1,1
45,77.38,7569,564,3,50,12,Female,No,Yes,Caucasian,997,0,0,1,1
46,19.531,5043,376,2,64,16,Female,Yes,Yes,Asian,1241,0,1,1,2
47,44.646,4431,320,2,49,15, Male,Yes,Yes,Caucasian,797,1,1,1,1
48,44.522,2252,205,6,72,15, Male,No,Yes,Asian,0,1,0,1,2
49,43.479,4569,354,4,49,13, Male,Yes,Yes,African American,902,1,1,1,3
50,36.361999999999995,5183,376,3,49,15, Male,No,Yes,African American,654,1,0,1,3
51,39.705,3969,301,2,27,20, Male,No,Yes,African American,211,1,0,1,3
52,44.205,5441,394,1,32,12, Male,No,Yes,Caucasian,607,1,0,1,1
53,16.304000000000002,5466,413,4,66,10, Male,No,Yes,Asian,957,1,0,1,2
54,15.333,1499,138,2,47,9,Female,No,Yes,Asian,0,0,0,1,2
55,32.916,1786,154,2,60,8,Female,No,Yes,Asian,0,0,0,1,2
56,57.1,4742,372,7,79,18,Female,No,Yes,Asian,379,0,0,1,2
57,76.273,4779,367,4,65,14,Female,No,Yes,Caucasian,133,0,0,1,1
58,10.354000000000001,3480,281,2,70,17, Male,No,Yes,Caucasian,333,1,0,1,1
59,51.872,5294,390,4,81,17,Female,No,No,Caucasian,531,0,0,0,1
